"mu" "alphahi" "gammahi" "alpharep" "gammarep" "alphalo" "gammalo"
"61" 0.5295 3.22329096973826 9.64317882693408 1.71206094976526 1.83723018013769 1.44453360920822 0
"62" 0.53 3.22162590987361 9.63199309915454 1.71160942190413 1.83543621693162 1.44418773459071 0
"63" 0.5305 3.2199624748204 9.62082343574795 1.71115787700755 1.83364251053118 1.44384194700102 0
"64" 0.531 3.21830066296725 9.60966981094747 1.71070616312041 1.83184851817765 1.44349625626464 0
"65" 0.5315 3.21664047042584 9.59853218410356 1.71025409833655 1.83005359121308 1.44315064486661 0
"66" 0.532 3.21498189347604 9.58741051366393 1.70980260791757 1.82826103281407 1.44280512096897 0
"67" 0.5325 3.21332492938626 9.57630476616842 1.70935092660635 1.82646811007801 1.44245968759002 0
"68" 0.533 3.2116695755465 9.56521490992044 1.70889909237726 1.82467495982439 1.44211433940765 0
"69" 0.5335 3.21001582805728 9.55414090268522 1.70844721632504 1.82288197877287 1.44176907705159 0
"70" 0.534 3.20836368356089 9.54308270743894 1.70799535080745 1.82108935352646 1.44142389896013 0
"71" 0.5345 3.20671314026432 9.53204029637895 1.70754208150599 1.81929204325147 1.44107883562295 0
"72" 0.535 3.20506419298068 9.52101361971217 1.70709065403539 1.817501618211 1.44073384196439 0
"73" 0.5355 3.20341684131144 9.51000266108718 1.70663895813333 1.81571055230219 1.44038896161666 0
"74" 0.536 3.20177108043841 9.4990073715758 1.70618694216989 1.81391866483461 1.44004415640818 0
"75" 0.5365 3.20012690747038 9.48802771787075 1.70573475809522 1.81212649766916 1.43969944196245 0
"76" 0.537 3.19848431943377 9.47706366558943 1.7052824884833 1.81033434545461 1.43935482648988 0
"77" 0.5375 3.19684331319535 9.46611517771403 1.70483014440673 1.80854224733905 1.43901029486906 0
"78" 0.538 3.19520388622136 9.45518222390217 1.70437757523883 1.80674966780764 1.43866585302464 0
"79" 0.5385 3.1935660344824 9.44426476242135 1.70392473571272 1.80495644602799 1.43832150710461 0
"80" 0.539 3.19192975604958 9.43336276422196 1.703472629422 1.80316615310429 1.43797725001308 0
"81" 0.5395 3.19029504717472 9.42247619081917 1.70302034605702 1.80137554844308 1.43763308277805 0
"82" 0.54 3.18866190507012 9.41160500952208 1.70256792917115 1.79958478878551 1.43728901260915 0
"83" 0.5405 3.18703032644618 9.40074918311121 1.70211527292472 1.79779349859452 1.43694501175216 0
"84" 0.541 3.18540030911453 9.38990868216921 1.70166269748763 1.79600281545201 1.43660115551969 0
"85" 0.5415 3.18377184944157 9.37908346916177 1.7012100547913 1.7942122135044 1.43625738638693 0
"86" 0.542 3.18214494452922 9.3682735091979 1.70075595831621 1.79241676879131 1.43586369478432 0
"87" 0.5425 3.18051959167056 9.35747876990411 1.70030376897095 1.7906284198782 1.4355200897716 0
"88" 0.543 3.17889578693978 9.34669921219134 1.69985118887395 1.78883900111107 1.4351765959615 0
"89" 0.5435 3.17727352841388 9.33593480758322 1.69939834272493 1.78704895858346 1.43483319003043 0
"90" 0.544 3.17565281366336 9.3251855267215 1.69894541600541 1.78525895143564 1.43448987935437 0
"91" 0.5445 3.17403363745016 9.31445131963561 1.69849232618836 1.78346868661648 1.43414666638502 0
"92" 0.545 3.17241599941737 9.30373216965842 1.69803922175091 1.78167869126497 1.43380354647713 0
"93" 0.5455 3.17079989557203 9.29302803712713 1.69758615764121 1.77988916009868 1.43346052115098 0
"94" 0.546 3.16918532265792 9.28233888639647 1.69713223379069 1.77809690275108 1.43311758951675 0
"95" 0.5465 3.16757227792685 9.27166468461466 1.6966793767367 1.77630874949065 1.43277474989109 0
"96" 0.547 3.1659607592768 9.26100540354759 1.69622622724462 1.7745198798904 1.43243203523157 0
"97" 0.5475 3.16435076272451 9.25036100391541 1.69577291682944 1.77273076225121 1.43208942501134 0
"98" 0.548 3.16274228587596 9.23973145428772 1.69531950932074 1.77094162237443 1.43174689528877 0
"99" 0.5485 3.16113532607566 9.22911672526358 1.69486609832781 1.7691527923343 1.4314044641038 0
"100" 0.549 3.15952988015886 9.21851678027642 1.69441250999973 1.76736365697391 1.43106214147221 0
"101" 0.5495 3.15792594551916 9.20793158888833 1.69395795810016 1.76557143417152 1.43071991008779 0
"102" 0.55 3.15632351919397 9.19736111838145 1.69350489385044 1.763784799667 1.43037777817915 0
"103" 0.5505 3.15472259769262 9.18680533060031 1.693051529136 1.76199742237158 1.43003574995567 0
